"year","month","mo_yr","cmip_projection","weighted_mean_pr_mm","stdev_pr_mm","weighted_mean_tasmin_degC","stdev_tasmin_degC","weighted_mean_tasmax_degC","stdev_tasmax_degC"
"1956","10","10-1956","hadgem2-es.1.rcp45",1.7464427947998,0.0300365425646305,2.48075127601624,0.105773255228996,14.4649209976196,0.0631208717823029
"1956","11","11-1956","hadgem2-es.1.rcp45",3.7551212310791,0.0819951742887497,-0.868256330490112,0.0783479288220406,7.34628534317017,0.0774061009287834
"1956","12","12-1956","hadgem2-es.1.rcp45",2.21393799781799,0.0426541976630688,-5.0429048538208,0.0878347828984261,2.61514401435852,0.0854127109050751
"1957","01","01-1957","hadgem2-es.1.rcp45",1.89947843551636,0.0546054802834988,-12.7440557479858,0.122878886759281,-2.27273917198181,0.0955466330051422
"1957","02","02-1957","hadgem2-es.1.rcp45",2.88058710098267,0.0491867437958717,-7.13262557983398,0.0790042951703072,1.74525988101959,0.0724347978830338
"1957","03","03-1957","hadgem2-es.1.rcp45",2.59561848640442,0.0634471774101257,-4.59052562713623,0.0823975130915642,5.64409875869751,0.0687861442565918
"1957","04","04-1957","hadgem2-es.1.rcp45",3.63016366958618,0.133597120642662,-1.48954474925995,0.066852018237114,9.10583972930908,0.0999836698174477
"1957","05","05-1957","hadgem2-es.1.rcp45",1.92776548862457,0.0624054297804832,4.81631708145142,0.0798399746417999,17.5533771514893,0.228224501013756
"1957","06","06-1957","hadgem2-es.1.rcp45",4.58091688156128,0.0338768400251865,10.3428926467896,0.0863213315606117,23.4854202270508,0.185336664319038
"1957","07","07-1957","hadgem2-es.1.rcp45",4.25927495956421,0.0947412252426147,13.2609481811523,0.0686937794089317,26.1109447479248,0.18402461707592
"1957","08","08-1957","hadgem2-es.1.rcp45",1.33860421180725,0.0173375550657511,11.6741580963135,0.0657148137688637,24.3263740539551,0.160406023263931
"1957","09","09-1957","hadgem2-es.1.rcp45",1.60353982448578,0.0352282598614693,8.49104881286621,0.0954091399908066,20.4253921508789,0.0649952068924904
"1957","10","10-1957","hadgem2-es.1.rcp45",2.41158127784729,0.0430354028940201,2.14905047416687,0.0913126841187477,12.6577711105347,0.0618705935776234
"1957","11","11-1957","hadgem2-es.1.rcp45",5.11540842056274,0.116784580051899,-3.17338228225708,0.0862620323896408,6.29978942871094,0.0980430543422699
"1957","12","12-1957","hadgem2-es.1.rcp45",2.02988529205322,0.0383515693247318,-7.06562089920044,0.0938266068696976,1.23038721084595,0.0895242989063263
"1958","01","01-1958","hadgem2-es.1.rcp45",2.78025054931641,0.0857322365045547,-14.7266187667847,0.128084242343903,-3.52258014678955,0.0895270481705666
"1958","02","02-1958","hadgem2-es.1.rcp45",4.81044864654541,0.0988554581999779,-13.3594722747803,0.0915604084730148,-1.51006674766541,0.0727332830429077
"1958","03","03-1958","hadgem2-es.1.rcp45",2.31824898719788,0.0657537281513214,-7.92797946929932,0.0963572934269905,2.43378448486328,0.0732568204402924
"1958","04","04-1958","hadgem2-es.1.rcp45",4.08819437026978,0.10532895475626,-1.10269451141357,0.0696466043591499,9.29457187652588,0.0996582582592964
"1958","05","05-1958","hadgem2-es.1.rcp45",0.514665722846985,0.00558893289417028,5.35263919830322,0.0684632584452629,20.1012744903564,0.207819655537605
"1958","06","06-1958","hadgem2-es.1.rcp45",1.98366844654083,0.015773493796587,9.39530658721924,0.0754609107971191,21.6433181762695,0.214122116565704
"1958","07","07-1958","hadgem2-es.1.rcp45",2.33174920082092,0.0234558638185263,12.9446220397949,0.0730161890387535,25.9769592285156,0.204044550657272
"1958","08","08-1958","hadgem2-es.1.rcp45",3.27935838699341,0.0500633157789707,11.2154064178467,0.0626018270850182,24.0059700012207,0.152037680149078
"1958","09","09-1958","hadgem2-es.1.rcp45",3.15479183197021,0.0533855520188808,11.0259695053101,0.0888247862458229,23.2815551757812,0.0732931792736053
"1958","10","10-1958","hadgem2-es.1.rcp45",3.85026264190674,0.0279218461364508,3.0070116519928,0.0968440324068069,14.1458530426025,0.0606779903173447
"1958","11","11-1958","hadgem2-es.1.rcp45",1.9127402305603,0.0266785826534033,-1.68913412094116,0.0757479444146156,5.95375823974609,0.0691460445523262
"1958","12","12-1958","hadgem2-es.1.rcp45",3.97600841522217,0.0741829127073288,-9.61980819702148,0.10639850795269,-1.01683282852173,0.0986060500144958
"1959","01","01-1959","hadgem2-es.1.rcp45",2.70704579353333,0.0691056847572327,-18.6650066375732,0.0949494540691376,-6.44391345977783,0.12254448980093
"1959","02","02-1959","hadgem2-es.1.rcp45",2.73728036880493,0.0613497793674469,-12.4990463256836,0.0825760513544083,-1.11034524440765,0.0720462426543236
"1959","03","03-1959","hadgem2-es.1.rcp45",2.49425601959229,0.0642882287502289,-6.53176736831665,0.0739365816116333,3.17808532714844,0.0875716209411621
"1959","04","04-1959","hadgem2-es.1.rcp45",2.01881003379822,0.0568906180560589,-1.43128192424774,0.0724392831325531,9.19311428070068,0.114006400108337
"1959","05","05-1959","hadgem2-es.1.rcp45",0.76574045419693,0.0258678700774908,3.3926796913147,0.113319203257561,17.0389003753662,0.212163060903549
"1959","06","06-1959","hadgem2-es.1.rcp45",1.74278926849365,0.0241248719394207,10.1779193878174,0.0926620215177536,23.1394348144531,0.213600546121597
"1959","07","07-1959","hadgem2-es.1.rcp45",2.43504571914673,0.0289677605032921,13.4560127258301,0.0827947556972504,26.7278938293457,0.219094052910805
"1959","08","08-1959","hadgem2-es.1.rcp45",2.76095581054688,0.0298812966793776,11.5543184280396,0.0650447830557823,24.1022682189941,0.14434614777565
"1959","09","09-1959","hadgem2-es.1.rcp45",1.24988770484924,0.0338988825678825,9.24916648864746,0.0983809679746628,22.7247200012207,0.0837111994624138
"1959","10","10-1959","hadgem2-es.1.rcp45",1.29729580879211,0.00689712539315224,4.51264381408691,0.10063162446022,17.2817897796631,0.0652529522776604
